Item,item type,Description
"CHIMNEY MASONRY REPOINTING
",Chimney Detail,"Structural Restoration & Waterproofing. This is a critical masonry repair that restores the structural integrity and weather resistance of your brick chimney. We address failing mortar joints to prevent water intrusion, which is the primary cause of brick spalling (flaking) and internal water damage.
The RHIVE Masonry Integrity Protocol:
Surface Grinding: All failed, cracked, or deteriorated mortar joints on the specified chimney faces are precisely ground out to a uniform depth, creating a clean, stable surface for new mortar.
Professional Repointing: The joints are repointed with a high-strength mortar blend, tooled to create a dense, concave profile that promotes water shedding and ensures maximum durability.
Curing & Sealing: After the new mortar has properly cured, we apply a professional-grade, breathable silane/siloxane masonry sealer to the entire brick surface. This final step provides a transparent, waterproof barrier that protects against water absorption and freeze-thaw cycles while allowing the chimney to breathe.
"
"CHIMNEY CHASE PAN RESEAL
",Chimney Detail,"Proactive Leak Defense for Chimney Tops. This is a critical maintenance service focused on resealing the most vulnerable penetration on your chimney chase pan: the storm collar around the flue pipe. We address failing sealant to prevent water from entering the chimney chase, protecting the internal structure from moisture damage and deterioration.
Execution Blueprint:
Surface Preparation: The area around the base of the flue pipe and the existing storm collar is wire-brushed and thoroughly cleaned to remove all old, cracked, and failing sealant, ensuring a clean surface for maximum adhesion.
Sealant Application: A new, continuous bead of high-temperature, weatherproof sealant is expertly applied to the top edge of the storm collar where it meets the flue pipe, creating a durable, monolithic, and waterproof seal.
Condition Assessment: We will perform a visual inspection of the chase pan surface for signs of advanced rust or deterioration that may indicate the need for a full replacement.
"
"CHIMNEY CHASE PAN REPLACEMENT
",Chimney Detail,"Permanent Water Diversion for Chimney Chases. This service provides a complete replacement of a failed or rusted metal chimney chase pan (the top cap), eliminating a common and critical leak point on modern chimney structures. A properly installed chase pan is the roof of your chimney, protecting the entire internal structure from water damage.
Execution Blueprint:
Shroud Detachment: The existing decorative chimney shroud and storm collar are carefully detached and set aside.
Pan Removal: The old, failing metal chase pan is removed and disposed of.
Substrate Inspection: The underlying wood framing of the chase is inspected for any moisture or damage, which is documented and communicated if found.
New Pan Installation: A new, custom-fabricated chase pan, constructed from heavy-gauge galvanized steel, is installed. It is built with cross-breaks to prevent ponding water and features sealed, watertight seams.
Final Integration: The flue pipe is sealed with a new storm collar and high-temperature sealant. The original shroud is then re-installed and all components are sealed to ensure a permanent, weatherproof finish.
"
"CHIMNEY SHROUD RESEAL
",Chimney Detail,"Targeted Leak Prevention at the Chimney Shroud. This service addresses vulnerabilities at the base of your decorative chimney shroud where it meets the metal chase pan. We create a durable, waterproof seal to prevent water from infiltrating the chimney chase through fastener penetrations and the primary perimeter seam.
Execution Blueprint:
Surface Preparation: The perimeter base of the shroud and any fastener heads on the horizontal chase pan surface are thoroughly cleaned of all old, failing sealant and debris.
Fastener Sealing: Each fastener that penetrates the horizontal surface of the chase pan is sealed with a high-performance, UV-rated sealant to eliminate water intrusion points.
Perimeter Sealing: A continuous, clean bead of sealant is applied to the entire perimeter where the base of the shroud meets the chase pan, creating a monolithic, watertight barrier.
"
CHIMNEY SHROUD REPLACEMENT,Chimney Detail,"Custom Architectural Upgrade & Permanent Protection. This service provides a full replacement of a damaged, rusted, or outdated decorative chimney shroud. We install a new, custom-fabricated shroud that enhances your home's curb appeal while providing a durable, long-lasting architectural finish.
Execution Blueprint:
Field Measurement & Fabrication: We take precise measurements of your chimney chase to ensure a perfect fit. A new shroud is then custom-fabricated by our local Salt Lake City partner using heavy-gauge, Kynar-coated steel for maximum longevity and color retention.
Removal & Disposal: The old shroud is professionally removed and disposed of.
Installation & Sealing: The new custom shroud is installed, secured with non-corrosive fasteners, and professionally sealed at all critical points to guarantee a permanent, weatherproof installation.
"
VELUX® SUN TUNNEL® REPLACEMENT,Roof Detail,"Full System Replacement for Natural Light Restoration. This service provides a complete removal and replacement of an existing sun tunnel. We install a new Velux® Sun Tunnel® system, including the high-impact dome, roof flashing, highly reflective light tunnel, and ceiling diffuser, restoring optimal natural light transmission to your interior spaces.
STUNL_SM (Small): 10-Inch Diameter Tunnel
STUNL_MD (Medium): 14-Inch Diameter Tunnel
"
VELUX® SKYLIGHT REPLACEMENT,Roof Detail,"Full System Replacement for Guaranteed Performance. This service provides a complete removal and replacement of an existing skylight. We install a brand new, energy-efficient Velux® fixed curb-mounted skylight and its integrated, three-layer flashing system, ensuring a leak-proof installation backed by the Velux 10-Year ""No Leak"" warranty.
SKY_SM (Small): For units up to approx. 24"" x 38""
SKY_MD (Medium): For units up to approx. 30"" x 46""
SKY_LG (Large): For units up to approx. 46"" x 46""
"
COPING CAP REMOVE & REPLACE,Roof Detail,"Premium System Upgrade for Unserviceable Components. This service is performed when the existing metal coping caps are damaged, deteriorated, or otherwise unserviceable. It includes the complete disposal of the old components and the installation of our new, 2-piece architectural metal coping system, engineered for maximum wind resistance and a clean, warrantable finish.
Execution & Material Specifications:
Removal & Disposal: The old, unserviceable coping is completely removed from the parapet wall and disposed of.
Continuous Metal Cleat System: Heavy-gauge galvanized steel anchor cleats are mechanically fastened to the top of the parapet wall, creating a secure, continuous anchor point for the coping cap.
Custom-Fabricated Coping Cap: The coping cap is custom-fabricated from heavy-duty, 24-gauge coated steel and is designed with a snap-on profile that securely locks onto the cleat system. This design provides maximum resistance to wind uplift and conceals all fasteners for a clean, architectural aesthetic.
Weatherproof Joint Assembly: Each joint between coping sections is protected by a concealed splice plate and sealed with a high-performance, UV-stable sealant, creating a monolithic and fully weatherproof finish.
"
"COPING CAP DETACH & RESET
",Roof Detail,"Preservation of Existing Components with an Enhanced Reinstallation. This service is performed when the existing metal coping caps are in good, serviceable condition. It includes the careful preservation of the original caps and a professional reinstallation that provides a more durable, weather-resistant attachment while maintaining the building's clean exterior aesthetic.
Execution Blueprint:
Careful Detachment: The existing coping caps are carefully detached from the parapet wall to minimize any bending or damage.
On-Site Preservation: The coping sections are staged and preserved securely on-site during primary roofing operations.
Professional Reinstallation with Concealed Fastening: After the new roof membrane is complete, the original coping caps are reinstalled. To preserve the clean exterior appearance, the caps are secured by driving new, specialized fasteners with integrated neoprene washers through the interior leg (roof side) of the coping cap. The neoprene washer compresses against the metal to create a durable, watertight seal at each penetration.
Final Sealing: All joints between coping sections are sealed with a new application of high-performance, UV-stable sealant. The new interior fastener heads are also sealed to provide redundant, long-term weather protection.
"
COPING CAP NEW INSTALLATION,Roof Detail,"Architectural Edge & Warranted Wind Protection. This is our premium, custom-fabricated 2-piece metal coping system, engineered to meet or exceed the strictest manufacturer requirements for high-wind warranties. This system provides superior, long-term defense against wind uplift and water intrusion at the most vulnerable area of a flat roof: the parapet wall.
Execution & Material Specifications:
Continuous Metal Cleat System: Heavy-gauge galvanized steel anchor cleats are mechanically fastened to the top of the parapet wall, creating a secure, continuous anchor point for the coping cap.
Custom-Fabricated Coping Cap: The coping cap is custom-fabricated from heavy-duty, 24-gauge coated steel and is designed with a snap-on profile that securely locks onto the cleat system, ensuring maximum resistance to wind uplift.
Weatherproof Joint Assembly: Each joint between coping sections is protected by a concealed splice plate and sealed with a high-performance, UV-stable sealant, creating a monolithic, aesthetically clean, and fully weatherproof finish.
"
SOLAR PANEL DETACH & RESET,Roof Detail,"Safe & Coordinated Solar Panel Management. This is a comprehensive service to facilitate roofing work. Our certified team, in coordination with a licensed electrician, safely detaches your entire solar panel array and racking system, stages it securely on-site during the roofing project, and then professionally resets and reconnects the system once the new roof is complete."
SOLAR PANEL SYSTEM CANCEL,Roof Detail,"This service includes the complete and permanent removal of a solar panel system from your roof. The process involves a licensed electrician safely de-energizing the system, followed by our crew removing all panels, racking, and hardware. All components are managed for proper disposal, with associated waste fees included. Note: The proper sealing of roof penetrations is addressed within the scope of the primary roof replacement."
SOLAR PANEL CLEANING,Roof Detail,"Performance Restoration Service. We restore your solar panels' peak efficiency by professionally cleaning their surfaces. Using eco-friendly, non-abrasive cleaners and specialized tools, we gently remove all accumulated oxidation, dust, grime, and debris that obstruct sunlight, maximizing your system's energy production."
SOLAR PANEL STORAGE,Roof Detail,This line item covers the safe and secure staging and storage of your solar panels and racking OFF your property for the duration of the roofing project.
"ELECTRICAL DISCONNECT FOR SOLAR SYSTEM
",Roof Detail,"Crew Safety & Code Compliance. This is a mandatory safety service performed by a licensed electrician. To ensure the safety of our roofing crew, the electrician will de-energize your solar panel system at the inverter and all connection points before any roofing work begins. This service includes the re-energizing and functional testing of the system by the electrician upon completion of the roofing project.
ELEC-DET-RES: For Residential solar systems.
ELEC-DET-COM: For Commercial solar systems.
"
